symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pantin D Capsule PR,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Neuropathic pain,Pevesca Plus Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Neuropathic pain,Pregason-M Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Pinom 20 Tablet,As directed by physician,,Cough Diarrhea Dizziness Flu like symptoms Headache Indigestion Nausea Runny nose Sore throat Stomach pain Blood in urine Chest pain
Treatment of Constipation,Pioride 2mg Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
Treatment of Neuropathic pain,Peg-NT Tablet,As directed by physician,,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
 Pain relief,Powerflam 50mg Tablet MR,As directed by physician,,Edema swelling Nausea Headache Dizziness Vomiting Itching Flatulence Indigestion Pain in extremities
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Pregalin 50 Capsule,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
Treatment of Constipation,Piclin Kid Oral Solution,As directed by physician,,Abdominal pain Abdominal cramp Abdominal discomfort Diarrhea
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pentate 40 Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Pulmonary arterial hypertension (PAH),Pulmonext 5 Tablet,As directed by physician,Peripheral edema Nasal congestion stuffy nose Sinus inflammation Flushing sense of warmth in the face ears neck and trunk,
Treatment of Bacterial eye infections,Polynase D Eye Ointment,As directed by physician,Eye discomfort Eye irritation Burning sensation in eye,
 Parkinson's disease Restless leg syndrome,Pramirol 0.25 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
 Pain reliefTreatment of Fever,Paracip Syrup,As directed by physician,,Indigestion Stomach pain Nausea Vomiting
Treatment of Dry cough,Phensedyl LR Oral Suspension,As directed by physician,,Palpitations Dizziness Fainting Fatigue Headache Sleepiness Gastrointestinal disturbance Confusion Numbness
 Prevention of heart attack and stroke,Preva-AS 150 Tablet,As directed by physician,,Abdominal pain Bruise Diarrhea Gastrointestinal bleeding Increased bleeding tendency Nosebleeds
Treatment of Constipation,Prusent 2mg Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
 Acne,Peroduo Gel,As directed by physician,,Erythema skin redness Burning sensation Scaling Stinging sensation
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Piltop-DSR Capsule,As directed by physician,,Diarrhea Stomach pain Dryness in mouth Headache Dizziness Flatulence Weakness Flu like symptoms
Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Polyclav-DS Dry Syrup,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment and prevention of Wound infection,Povidone Iodine Solution,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Constipation,Piclin Tablet,As directed by physician,,Abdominal pain Abdominal cramp Abdominal discomfort Diarrhea
Treatment of Type 2 diabetes mellitus,PPG 0.3 Tablet,As directed by physician,,Skin rash Flatulence Abdominal pain Diarrhea
Treatment of Idiopathic pulmonary fibrosis,Pirfenex 400mg Tablet,As directed by physician,,Insomnia difficulty in sleeping Headache Dizziness Tiredness Sinus inflammation Loss of appetite Upper respiratory tract infection Weight loss Nausea Indigestion Diarrhea Photosensitivity
Treatment of Bacterial infections,Phexin 250mg Redisyp Banana,As directed by physician,,Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pantin 40mg Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Pain reliefTreatment of Fever,Pacimol MF 125 Oral Suspension,As directed by physician,,Nausea Vomiting Abdominal pain Heartburn Diarrhea Dizziness
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Protochek DSR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Prevention of Infections after chemotherapy,Pegstim Injection,As directed by physician,,Bone pain Joint pain Headache Nausea Low blood platelets Muscle pain Back pain Pain in extremities Injection site pain
Treatment of Bacterial infections,Pecef 100 Powder For Oral Suspension,As directed by physician,,Abdominal pain Rash Nausea Diarrhea
Treatment of Type 2 diabetes mellitus,Pioz 30 Tablet,As directed by physician,,Headache Sore throat Sinus inflammation Muscle pain
Treatment of Kidney stone,Proliser Syrup Sugar Free,As directed by physician,,Nausea Vomiting Diarrhea Stomach pain
 Cough with mucus,Phensedyl CR  Syrup,As directed by physician,,Nausea Diarrhea Vomiting Dryness in mouth Stomach discomfort Allergic reaction Dizziness Headache Rash Hives Fatigue Sleepiness
 Nutritional deficiencies,Potrate 10 Tablet ER,As directed by physician,,Abdominal pain Vomiting Diarrhea Nausea
Treatment of Skin infections,Panderm NM Cream,As directed by physician,,Application site reactions burning irritation itching and redness Thinning of skin
Treatment of Neuropathic pain,Pregamet SR Tablet,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Ulcerative colitis Crohn’s disease,Pentasa 2gm Prolonged Release Granules,As directed by physician,,Stomach pain epigastric pain Flatulence Headache Vomiting Diarrhea Nausea Abdominal pain Rash
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,Pepcia-L Capsule SR,As directed by physician,,Nausea Stomach pain Diarrhea Flatulence Constipation Headache Dizziness Weakness Sleepiness Flu like symptoms
 Parkinson's disease Restless leg syndrome,Pramipex ER 0.375 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
 Pain reliefTreatment of Fever,P 500 Suspension,As directed by physician,,Stomach pain Nausea Vomiting
 Prevention of organ rejection in transplant patients,Pangraf 0.5 Capsule,As directed by physician,,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Treatment of Type 2 diabetes mellitus,Pioglit 15 Tablet,As directed by physician,,Headache Sore throat Sinus inflammation Muscle pain
 Dandruff,Pelliwash Shampoo,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Prolomet XL 100 Tablet,As directed by physician,,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
 Pain reliefTreatment of Fever,Parawel 325mg Tablet,As directed by physician,,Stomach pain Nausea Vomiting
 Acne,Peroclin 5% Gel,As directed by physician,,Erythema skin redness Skin peeling Dryness Burning sensation Itching Stinging sensation
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,P2i-D Capsule PR,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Pain reliefTreatment of Fever,PCM 650mg Tablet,As directed by physician,,Stomach pain Nausea Vomiting
 High phosphate levels in blood,Phoscut 800 Tablet,As directed by physician,,Nausea Vomiting Upper abdominal pain Flatulence Constipation Diarrhea
Treatment of Cough with mucus,Pulmoclear LS Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Protera Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Pain reliefTreatment of Fever,Paracip Infusion,As directed by physician,,Headache Insomnia difficulty in sleeping Constipation Itching Anxiety Stomach pain Nausea Vomiting
 Pain relief Fever,PA 12 Tablet SR,As directed by physician,No common side effects seen,
Treatment of Allergic conditions,Prulastin Tablet,As directed by physician,,Headache Drowsiness
Treatment of Constipation,Pioride 1mg Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
Treatment of Benign prostatic hyperplasia,Prostagard 4 Capsule,As directed by physician,,Retrograde ejaculation Dizziness Diarrhea Orthostatic hypotension sudden lowering of blood pressure on standing Headache Blurred vision Nasopharyngitis inflammation of the throat and nasal passages Nasal congestion stuffy nose
Treatment of Bacterial infections,Phexin BD 750mg Tablet,As directed by physician,,Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
 Pain reliefTreatment of Fever,Parasafe 650 Tablet,As directed by physician,,Stomach pain Nausea Vomiting
Treatment of Bacterial eye infections,Phenosulf Eye Drop,As directed by physician,Eye irritation Burning sensation Watery eyes,
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Panex-CR 12.5 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
 Melasma Hyperpigmentation,Pinodin-TX Plus Tablet SR,As directed by physician,,Headache Nasal congestion stuffy nose Musculoskeletal bone muscle or joint pain Stomach pain Tiredness
Treatment of Fungal skin infections,Propyzole NF Cream,As directed by physician,,Burning sensation Stinging sensation Erythema skin redness Irritation Itching
Treatment of Peptic ulcer disease,Pylokit-AC Kit,As directed by physician,,Nausea Diarrhea Vomiting Stomach pain Taste change Flatulence Headache Rash
Treatment of Neuropathic pain,Pregastar M 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Hormone replacement therapy,Progynova 1mg Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of Redness and swelling in the eye,P-Lone Eye Drop,As directed by physician,Burning sensation Eye irritation Watery eyes Blurred vision Reduction in bone density Upset stomach Behavioral changes Mood changes Weight gain,
Treatment of Neuropathic pain,Pregalift NT Tablet,As directed by physician,,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pantotab DSR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Allergic conditions Appetite stimulant,Peritol 4mg Tablet,As directed by physician,,Dizziness Headache
 Fungal infections,Phytoral Tablet,As directed by physician,,Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Treatment of Neuropathic pain,Pbren-M 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pazom 40mg Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
Treatment of Nausea Vomiting,Periset Injection,As directed by physician,,Injection site pain Constipation Diarrhea Fatigue Headache
Treatment of Constipation,Pruwel 1 Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
 Pain reliefTreatment of Fever,P 125 Drops,As directed by physician,,Indigestion Stomach pain Nausea Vomiting
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pansped 40 Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Hormone replacement therapyPrevention of Post menopausal osteoporosis,Premarin 0.3mg Tablet,As directed by physician,,Nausea Breast pain Hair loss Irregular vaginal bleeding Edema swelling Vaginal spotting Vaginal itching Depression Leg cramps Abdominal cramp Vaginal yeast infection Vaginal burning sensation
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pentab-D Tablet,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Pbren 75 Capsule,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
 Wound infection,Puradine OZ Ointment,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia,Prazopill XL 5 Tablet,As directed by physician,,Dizziness Headache Drowsiness Weakness Low energy Palpitations Nausea
Treatment of Neuropathic pain,Pregabel-M Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Provanol 10 Tablet,As directed by physician,,Tiredness Weakness Raynaud s phenomenon Arrhythmia irregular heartbeats Nausea Vomiting Diarrhea
 Parkinson's disease Restless leg syndrome,Pramipex 1 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
Treatment of Constipation,Presmovac 2 Tablet,As directed by physician,,Headache Nausea Diarrhea Abdominal pain Decreased appetite Dizziness Indigestion
Treatment of Respiratory tract infection,Podocip CV Tablet,As directed by physician,,Nausea Diarrhea Headache Rash Abdominal pain Vaginal infection Fungal infection of vagina
Treatment of Piles,Pilogo Plus Cream,As directed by physician,Application site reactions burning irritation itching and redness,
 Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Pinom 40 Tablet,As directed by physician,,Cough Diarrhea Dizziness Flu like symptoms Headache Indigestion Nausea Runny nose Sore throat Stomach pain Blood in urine Chest pain
Treatment of Type 2 diabetes mellitus,Pioplus 1 Tablet SR,As directed by physician,,Hypoglycemia low blood glucose level Dizziness Headache Nausea Vomiting Diarrhea Flatulence Bronchitis inflammation of the airways Anemia low number of red blood cells Edema swelling
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Paxidep CR 37.5 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
 Parkinson's disease Restless leg syndrome,Pramirol 0.5 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
 Neuropathic pain,Pregabid Forte 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
Treatment of Hair loss,Prolox 5% Topical Solution,As directed by physician,,Itching Chest pain Headache Hypertrichosis excessive hair growth Rash Dermatitis Hypersensitivity Weight gain Fluid retention Tachycardia
 Skin conditions with inflammation & itchingTreatment of Asthma,Propynate NF Cream,As directed by physician,Hoarseness of voice Thrush Pharyngitis Abnormal taste Nasopharyngeal irritation Application site irritation Application site burning,
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Pregalin 150 Capsule,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
 Pain reliefTreatment of Fever,Paracip Suspension 60ml for Fever &amp; Pain Management,As directed by physician,,Indigestion Stomach pain Nausea Vomiting
 Diabetic foot ulcers,Plermin Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of Neuropathic pain,Peg-SR M 75 Tablet,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Parkinson's disease Restless leg syndrome,Pramipex ER 0.75 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
 Prevention of organ rejection in transplant patients,Pangraf 2 Capsule,As directed by physician,,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Treatment of Neuropathic pain,Pregabanyl Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 High cholesterol Prevention of heart attack and stroke,Pivasta 4 Tablet,As directed by physician,,Constipation Muscle pain Back pain Diarrhea Pain in extremity
Prevention of Blood clots,Phlebotroy QPS Topical Solution,As directed by physician,,Skin rash
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Panum-DSR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pansalve-DSR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Schizophrenia,Parkin-Plus Tablet,As directed by physician,,Nausea Constipation Dryness in mouth Sedation Weight gain Orthostatic hypotension sudden lowering of blood pressure on standing Urinary retention Increased prolactin level in blood Dizziness Blurred vision Nervousness
 Eye injury,Panthol-D Eye Gel,As directed by physician,Application site reactions burning irritation itching and redness,
Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder,Prodep 60 Capsule,As directed by physician,,Erectile dysfunction Indigestion Influenza like syndrome Loss of appetite Depression Low sexual desire Nausea Sore throat Sweating Tremors Weakness Yawning Abnormal dreams Delayed ejaculation Dryness in mouth Insomnia difficulty in sleeping Nervousness Sleepiness Sinus infection
 Acidity Heartburn Stomach ulcers,Polycain Oral Gel Jamaican Strawberry,As directed by physician,,Chalky taste Constipation Diarrhea
Treatment of Bacterial infections,Pancef-O 200mg Tablet,As directed by physician,,Nausea Stomach pain Indigestion Diarrhea
 Prevention of heart attack and stroke Heart attack Peripheral vascular disease,Preva Tablet,As directed by physician,,Abdominal pain Bruise Diarrhea Hematoma Nosebleeds Gastrointestinal bleeding Dyspepsia
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Panto-DSR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Pain reliefTreatment of Fever,Pyrigesic Oral Suspension,As directed by physician,,Indigestion Stomach pain Nausea Vomiting
Prevention of Premature Labor,Pro 9 500mg Injection,As directed by physician,,Injection site pain Injection site swelling Red spots or bumps Rash
 Pain relief,Pirox 20 Capsule,As directed by physician,,Vomiting Stomach pain Nausea Headache Dizziness
Treatment of Ulcerative colitis,Pentasa 1gm Suppository,As directed by physician,,Rectal discomfort Flatulence Headache Vomiting Diarrhea Nausea Abdominal pain Rash
Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever,Penidure LA 6 Injection,As directed by physician,,Rash Allergic reaction Injection site reactions pain swelling redness
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Peg -SR 75 Tablet,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
Treatment of Gastroesophageal reflux disease (Acid reflux),Protera-L Capsule SR,As directed by physician,,Stomach pain Vomiting Diarrhea Headache Nausea Flatulence Dizziness
 Stroke,Prexaron Plus Tablet,As directed by physician,,Weight gain Hyperactivity Stomach pain Nervousness Diarrhea Decreased blood pressure
Treatment of Pancreatic enzyme deficiency,Panzynorm-N Tablet,As directed by physician,,Stomach pain Bloating Diarrhea
 Cough,Planokuf XP  Syrup,As directed by physician,,Nausea Diarrhea Vomiting Stomach discomfort Dizziness Headache Rash Hives Allergic reaction Tremors Increased heart rate Palpitations
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Pantium 40 Tablet,As directed by physician,,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
 Herpes labialis Herpes Simplex Virus Infections Shingles Genital herpes infection,Penvir 250 Tablet,As directed by physician,,Headache Dizziness Nausea Rash Abdominal pain Itching Abnormal liver function tests Increased lipase in the blood Elevated levels of serum amylase
 Immunoglobulins deficiency,Pentaglobin Injection,As directed by physician,,Back pain Chills Flushing sense of warmth in the face ears neck and trunk Dizziness Headache Nausea Decreased blood pressure Muscle pain Slow heart rate Wheezing
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pantadom-SR Capsule,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
 Varicose veins,Pinodin Tablet,As directed by physician,,Nausea Allergic reaction Dizziness Headache Indigestion
 Hormone replacement therapy,Primiwal-E4 Tablet SR,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Treatment of Constipation,Pixit Oral Solution Sugar Free,As directed by physician,,Abdominal pain Abdominal cramp Abdominal discomfort Diarrhea
 Pain relief,Powergesic 100mg Transdermal Patch,As directed by physician,,Application site reactions burning irritation itching and redness Edema swelling Nausea Headache Dizziness Vomiting Itching Flatulence Indigestion Pain in extremities
Treatment of Gastroesophageal reflux disease (Acid reflux),Panum L Capsule,As directed by physician,,Stomach pain Vomiting Diarrhea Headache Nausea Flatulence Dizziness
 Fungal infections,Profulvin 500 Tablet,As directed by physician,,Headache Skin rash Nausea Diarrhea Dizziness
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,PH-Perfect Capsule,As directed by physician,,Nausea Stomach pain Diarrhea Flatulence Constipation Headache Dizziness Weakness Sleepiness Flu like symptoms
Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Polyclav BD 228.5mg Dry Syrup,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
 Prevention of organ rejection in transplant patients,Prograf 0.5mg Capsule,As directed by physician,,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Treatment of Bacterial infections,Penclav 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Padup Capsule PR,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Bacterial infections,Phexin BD 375mg Tablet,As directed by physician,,Rash Stomach pain Nausea Indigestion Diarrhea Vomiting
 Hormone replacement therapyTreatment of Female infertility,Pregcert 200 SR Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Treatment of Neuropathic pain,Pregalex-NT Tablet,As directed by physician,,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,Pregabel 75 Capsule,As directed by physician,,Blurred vision Difficulty in paying attention Dizziness Dryness in mouth Edema swelling Sleepiness Weight gain
Treatment of Type 2 diabetes mellitus,PPG Met 0.3 Tablet SR,As directed by physician,,Flatulence Diarrhea Bloating Abdominal pain Vomiting Decreased appetite
Treatment of Female infertilityTreatment of Male hypogonadism,Pubergen HP 5000 Injection,As directed by physician,,Injection site pain Headache Fatigue Depression Irritation Restlessness
 Erectile dysfunction Peripheral vascular disease,Papaverine 60mg Injection,As directed by physician,,Breathlessness Chest pain Weakness Decreased blood pressure
 Parkinson's disease Restless leg syndrome,Pramirol SR 0.26 Tablet,As directed by physician,,Dizziness Sleepiness Nausea Dryness in mouth Fatigue Hallucination Constipation Peripheral edema Muscle spasm
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pentaloc D 10mg/20mg Tablet,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Allergic conditions,Patadin Tablet,As directed by physician,Sleepiness Weakness Dryness in mouth,
Prevention of Heart attackPrevention of Stroke,Prasudoc 10 Tablet,As directed by physician,Bleeding,
 Pain relief,Pruf-P Tablet,As directed by physician,,Nausea Vomiting Constipation Dryness in mouth Dizziness Headache Sleepiness
Treatment of Type 2 diabetes mellitus,Piosys 30 Tablet,As directed by physician,,Headache Sore throat Sinus inflammation Muscle pain
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Pentate-D Tablet,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of Pancreatic enzyme deficiency,Panzynorm-HS Tablet,As directed by physician,,Stomach pain Bloating Diarrhea
Treatment of Erectile dysfunction,Primiwal-S Tablet,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Headache Stiffness Nosebleeds Blurred vision Indigestion Muscle pain Upset stomach Rash
 Dry cough,Panthor DX Syrup,As directed by physician,,Nausea Stomach pain Diarrhea Upset stomach Vomiting Loss of appetite Dizziness Headache Insomnia difficulty in sleeping Rash Hives Itching Sleepiness
 Eczema Psoriasis,Powercort-S 3% Ointment,As directed by physician,Application site reactions burning irritation itching and redness,
 Hormone replacement therapyTreatment of Female infertility,Profine SR 300 Tablet,As directed by physician,,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Treatment of Neuropathic pain,Pregamet 75 Capsule,As directed by physician,,Dizziness Sleepiness Tiredness Uncoordinated body movements
 Acne,Persol Plus Gel,As directed by physician,,Erythema skin redness Burning sensation Scaling Stinging sensation
Treatment of Neuropathic pain,Pregathree Tablet,As directed by physician,,Constipation Weight gain Orthostatic hypotension sudden lowering of blood pressure on standing Increased heart rate Dizziness Sleepiness Tiredness Blurred vision Dryness in mouth Difficulty in urination Uncoordinated body movements
Treatment of Parkinson's diseaseTreatment of Drug induced abnormal movements,Parkinta 2mg Tablet,As directed by physician,,Dryness in mouth Nausea Vomiting Constipation Blurred vision Dizziness Upset stomach Headache Difficulty in urination Nervousness
Treatment of Type 2 diabetes mellitus,PPG 0.2 Tablet,As directed by physician,,Skin rash Flatulence Abdominal pain Diarrhea
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Piza-D Tablet,As directed by physician,,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,Pexep CR 37.5 Tablet,As directed by physician,,Nausea Fatigue Dryness in mouth Loss of appetite Increased sweating Dizziness Nervousness Tremors Low sexual desire Insomnia difficulty in sleeping Confusion Constipation Erectile dysfunction Delayed ejaculation Decreased libido
Treatment of Type 2 diabetes mellitus,Pioz MF G2 Tablet SR,As directed by physician,,Hypoglycemia low blood glucose level Dizziness Headache Nausea Vomiting Diarrhea Flatulence Bronchitis inflammation of the airways Anemia low number of red blood cells Edema swelling
 Hormone replacement therapy,Primiwal E2 Tablet,As directed by physician,,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
